1	0
2	0
2	1
3	0
4	0
5	0
5	2
6	0
6	1
6	2
6	5
7	0
8	0
8	1
9	0
10	0
10	1
10	2
10	5
10	6
11	0
11	1
11	2
11	5
11	6
11	10
12	0
12	9
13	0
14	0
14	2
14	5
14	6
14	10
14	11
15	0
15	1
15	2
15	5
15	6
15	10
15	11
15	14
16	0
16	1
16	2
16	6
16	10
16	11
16	14
16	15
17	0
17	1
17	2
17	5
17	6
17	10
17	14
17	15
17	16
18	0
18	2
18	14
18	15
18	16
18	17
19	0
19	9
20	0
20	13
21	0
21	4
21	5
21	10
21	14
22	0
22	1
22	8
22	10
22	16
22	17
22	19
23	0
24	0
24	20
25	0
26	0
26	4
26	14
26	21
26	25
50	1
50	7
50	16
50	49
52	1
52	2
52	5
52	6
52	11
52	14
52	15
52	16
52	49
478	1
478	10
478	15
478	16
478	98
478	474
1078	1
1078	6
1078	22
1078	206
1078	422
1078	450
1078	553
1078	565
1078	719
1078	1069
1078	1071
1078	1072
1078	1075
1131	1
1131	8
1131	10
1131	11
1131	22
1131	32
1131	36
1131	162
1131	164
1131	177
1131	445
1131	508
1131	633
1131	635
1131	639
1131	645
1131	651
1131	806
1131	985
1236	1
1236	2
1236	6
1236	8
1236	10
1236	11
1236	15
1236	16
1236	17
1236	32
1236	36
1236	478
1236	553
1236	739
1236	969
1236	1002
1236	1131
1644	1
1644	2
1644	5
1644	6
1644	15
1644	16
1644	28
1644	50
1644	52
1644	478
1644	812
1644	1000
1644	1002
1644	1003
1644	1004
1644	1236
1644	1635
2052	1
2052	19
2052	66
2052	893
2052	974
2052	1150
2052	1277
2052	1641
2052	1645
2052	1728
2052	1830
2052	2020
2053	1
2053	4
2053	7
2053	14
2053	50
2053	477
2053	511
2053	739
2053	1127
2053	1198
2053	1645
2053	1653
2054	1
2054	2
2054	5
2054	8
2054	10
2054	11
2054	15
2054	16
2054	17
2054	909
2054	1002
2054	1119
2054	1131
2054	1236
2054	1644
2054	2053
2055	1
2055	2
2055	4
2055	5
2055	6
2055	10
2055	11
2055	14
2055	15
2055	16
2055	17
2055	21
2055	308
2055	682
2055	813
2055	1002
2055	1236
2055	1644
2055	1921
2055	2054
2056	1
2056	719
2056	1078
2057	1
